AU;TI;SO;TC;PY;VL;IS;BP;EP;DOI
"Li, ZX; Zhu, C; Wu, GX; Zheng, CG; Zhang, PJ";Spatial pattern and temporal trend of prehistoric human sites and its driving factors in Henan Province, Central China;JOURNAL OF GEOGRAPHICAL SCIENCES;3;2015;25;9;1109;1121;https://doi.org/10.1007/s11442-015-1222-7
"Tooth, S; Rodnight, H; McCarthy, TS; Duller, GAT; Grundling, AT";Late Quaternary dynamics of a South African floodplain wetland and the implications for assessing recent human impacts;GEOMORPHOLOGY;22;2009;106;04. Mar;278;291;https://doi.org/10.1016/j.geomorph.2008.11.009
"Moreno, A; Lopez-Merino, L; Leira, M; Marco-Barba, J; Gonzalez-Samperiz, P; Valero-Garces, BL; Lopez-Saez, JA; Santos, L; Mata, P; Ito, E";Revealing the last 13,500 years of environmental history from the multiproxy record of a mountain lake (Lago Enol, northern Iberian Peninsula);JOURNAL OF PALEOLIMNOLOGY;85;2011;46;3;327;349;https://doi.org/10.1007/s10933-009-9387-7
"Surjan, A; Kudo, S; Uitto, JI";Risk and Vulnerability;SUSTAINABLE DEVELOPMENT AND DISASTER RISK REDUCTION;4;2016;;;37;55;https://doi.org/10.1007/978-4-431-55078-5_3
"Wilson, R; Harrison, S; Reynolds, J; Hubbard, A; Glasser, NF; Wundrich, O; Anacona, PI; Mao, L; Shannon, S";The 2015 Chileno Valley glacial lake outburst flood, Patagonia;GEOMORPHOLOGY;0;2019;332;;51;65;https://doi.org/10.1016/j.geomorph.2019.01.015
"Moran, EF; Adams, R; Bakoyema, B; T, SF; Boucek, B";Human strategies for coping with El Nino related drought in Amazonia;CLIMATIC CHANGE;28;2006;77;04. Mar;343;361;https://doi.org/10.1007/s10584-005-9035-9
"Brandolini, P; Cevasco, A; Firpo, M; Robbiano, A; Sacchini, A";Geo-hydrological risk management for civil protection purposes in the urban area of Genoa (Liguria, NW Italy);NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;33;2012;12;4;943;959;https://doi.org/10.5194/nhess-12-943-2012
"Norris, LC; Main, BJ; Lee, Y; Collier, TC; Fofana, A; Cornel, AJ; Lanzaro, GC";Adaptive introgression in an African malaria mosquito coincident with the increased usage of insecticide-treated bed nets;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;85;2015;112;3;815;820;https://doi.org/10.1073/pnas.1418892112
"Rull, V; Canellas-Bolta, N; Margalef, O; Saez, A; Pla-Rabes, S; Giralt, S";Late Holocene vegetation dynamics and deforestation in Rano Aroi: Implications for Easter Island's ecological and cultural history;QUATERNARY SCIENCE REVIEWS;19;2015;126;;219;226;https://doi.org/10.1016/j.quascirev.2015.09.008
"Bush, MB; Hansen, BCS; Rodbell, DT; Seltzer, GO; Young, KR; Leon, B; Abbott, MB; Silman, MR; Gosling, WD";A 17000-year history of Andean climate and vegetation change from Laguna de Chochos, Peru;JOURNAL OF QUATERNARY SCIENCE;86;2005;20;08. Jul;703;714;https://doi.org/10.1002/jqs.983
"Messeri, A; Morabito, M; Messeri, G; Brandani, G; Petralli, M; Natali, F; Grifoni, D; Crisci, A; Gensini, G; Orlandini, S";Weather-Related Flood and Landslide Damage: A Risk Index for Italian Regions;PLOS ONE;13;2015;10;12;;;https://doi.org/10.1371/journal.pone.0144468
"Crompton, RP; McAneney, KJ";Normalised Australian insured losses from meteorological hazards: 1967-2006;ENVIRONMENTAL SCIENCE & POLICY;69;2008;11;5;371;378;https://doi.org/10.1016/j.envsci.2008.01.005
"Robins, PE; Farkas, K; Cooper, D; Malham, SK; Jones, DL";Viral dispersal in the coastal zone: A method to quantify water quality risk;ENVIRONMENT INTERNATIONAL;0;2019;126;;430;442;https://doi.org/10.1016/j.envint.2019.02.042
"Li, B; Qiu, Y; Zhang, J; Huang, X; Shi, HC; Yin, HB";Real-Time Study of Rapid Spread of Antibiotic Resistance Plasmid in Biofilm Using Microfluidics;ENVIRONMENTAL SCIENCE & TECHNOLOGY;5;2018;52;19;11132;11141;https://doi.org/10.1021/acs.est.8b03281
"Tortajada, C; Kastner, MJ; Buurman, J; Biswas, AK";The California drought: Coping responses and resilience building;ENVIRONMENTAL SCIENCE & POLICY;12;2017;78;;97;113;https://doi.org/10.1016/j.envsci.2017.09.012
"Geirinhas, JL; Trigo, RM; Libonati, R; Castro, LCO; Sousa, PM; Coelho, CAS; Peres, LF; Magalhaes, MDFM";Characterizing the atmospheric conditions during the 2010 heatwave in Rio de Janeiro marked by excessive mortality rates;SCIENCE OF THE TOTAL ENVIRONMENT;3;2019;650;;796;808;https://doi.org/10.1016/j.scitotenv.2018.09.060
"Reynolds, JF; Grainger, A; Smith, DMS; Bastin, G; Garcia-Barrios, L; Fernandez, RJ; Janssen, MA; Jurgens, N; Scholes, RJ; Veldkamp, A; Verstraete, MM; Von Maltitz, G; Zdruli, P";SCIENTIFIC CONCEPTS FOR AN INTEGRATED ANALYSIS OF DESERTIFICATION;LAND DEGRADATION & DEVELOPMENT;76;2011;22;2;166;183;https://doi.org/10.1002/ldr.1104
"Bitterman, P; Bennett, DA; Secchi, S";Constraints on on farmer adaptability in the Iowa-Cedar River Basin;ENVIRONMENTAL SCIENCE & POLICY;0;2019;92;;9;16;https://doi.org/10.1016/j.envsci.2018.11.004
"Marathe, NP; Regina, VR; Walujkar, SA; Charan, SS; Moore, ERB; Larsson, DGJ; Shouche, YS";A Treatment Plant Receiving Waste Water from Multiple Bulk Drug Manufacturers Is a Reservoir for Highly Multi-Drug Resistant Integron-Bearing Bacteria;PLOS ONE;43;2013;8;10;;;https://doi.org/10.1371/journal.pone.0077310
"Phlips, EJ; Badylak, S; Christman, MC; Lasi, MA";Climatic Trends and Temporal Patterns of Phytoplankton Composition, Abundance, and Succession in the Indian River Lagoon, Florida, USA;ESTUARIES AND COASTS;32;2010;33;2;498;512;https://doi.org/10.1007/s12237-009-9166-8
"Chrysoulakis, N; Herlin, I; Prastacos, P; Yahia, H; Grazzini, J; Cartalis, C";An improved algorithm for the detection of plumes caused by natural or technological hazards using AVHRR imagery;REMOTE SENSING OF ENVIRONMENT;11;2007;108;4;393;406;https://doi.org/10.1016/j.rse.2006.11.024
"Hoover, KC; Barker, CM";West Nile virus, climate change, and circumpolar vulnerability;WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE;6;2016;7;2;283;300;https://doi.org/10.1002/wcc.382
"Sherman, M; Ford, J; Llanos-Cuentas, A; Valdivia, MJ; Bussalleu, A";Vulnerability and adaptive capacity of community food systems in the Peruvian Amazon: a case study from Panaillo;NATURAL HAZARDS;18;2015;77;3;2049;2079;https://doi.org/10.1007/s11069-015-1690-1
"Tomczyk, AM; White, PCL; Ewertowski, MW";Effects of extreme natural events on the provision of ecosystem services in a mountain environment: The importance of trail design in delivering system resilience and ecosystem service co-benefits;JOURNAL OF ENVIRONMENTAL MANAGEMENT;12;2016;166;;156;167;https://doi.org/10.1016/j.jenvman.2015.10.016
"Ainsworth, TD; Hurd, CL; Gates, RD; Boyd, PW";How do we overcome abrupt degradation of marine ecosystems and meet the challenge of heat waves and climate extremes?;GLOBAL CHANGE BIOLOGY;0;;;;;;https://doi.org/10.1111/gcb.14901
"Fellous, A; Shama, LNS";Genome Survey of Chromatin-Modifying Enzymes in Threespine Stickleback: A Crucial Epigenetic Toolkit for Adaptation?;FRONTIERS IN MARINE SCIENCE;0;2019;6;;;;https://doi.org/10.3389/fmars.2019.00721
"Patt, AG; Tadross, M; Nussbaumer, P; Asante, K; Metzger, M; Rafael, J; Goujon, A; Brundrit, G";Estimating least-developed countries' vulnerability to climate-related extreme events over the next 50 years;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;69;2010;107;4;1333;1337;https://doi.org/10.1073/pnas.0910253107
"Woodbridge, J; Roberts, N";Late Holocene climate of the Eastern Mediterranean inferred from diatom analysis of annually-laminated lake sediments;QUATERNARY SCIENCE REVIEWS;28;2011;30;23-24;3381;3392;https://doi.org/10.1016/j.quascirev.2011.08.013
"Oven, KJ; Curtis, SE; Reaney, S; Riva, M; Stewart, MG; Ohlemuller, R; Dunn, CE; Nodwell, S; Dominelli, L; Holden, R";Climate change and health and social care: Defining future hazard, vulnerability and risk for infrastructure systems supporting older people's health care in England;APPLIED GEOGRAPHY;46;2012;33;1;16;24;https://doi.org/10.1016/j.apgeog.2011.05.012
"Moors, E; Singh, T; Siderius, C; Balakrishnan, S; Mishra, A";Climate change and waterborne diarrhoea in northern India: Impacts and adaptation strategies;SCIENCE OF THE TOTAL ENVIRONMENT;35;2013;468;;S139;S151;https://doi.org/10.1016/j.scitotenv.2013.07.021
"Yan, QN; Le, PVV; Woo, DK; Hou, TY; Filley, T; Kumar, P";Three-Dimensional Modeling of the Coevolution of Landscape and Soil Organic Carbon;WATER RESOURCES RESEARCH;0;2019;55;2;1218;1241;https://doi.org/10.1029/2018WR023634
"Burjachs, F; Perez-Obiol, R; Picornell-Gelabert, L; Revelles, J; Servera-Vives, G; Exposito, I; Yll, EI";Overview of environmental changes and human colonization in the Balearic Islands (Western Mediterranean) and their impacts on vegetation composition during the Holocene;JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS;15;2017;12;;845;859;https://doi.org/10.1016/j.jasrep.2016.09.018
"Woodroffe, CD; Leon, J";THE COASTAL ZONE AND ITS CLASSIFICATION FOR GEOSPATIAL ANALYSIS;GEOMATIC SOLUTIONS FOR COASTAL ENVIRONMENTS;1;2010;;;1;32;https://doi.org/
"Venalainen, A; Rauhala, J; Pimenoff, N; Saku, S; Johansson, M; Kahma, K; Kangas, A; Pellikka, H; Boman, H";EXWE summary report;SAFIR2010-THE FINNISH RESEARCH PROGRAMME ON NUCLEAR POWER PLANT SAFETY 2007-2010, INTERIM REPORT;0;2009;2466;;518;524;https://doi.org/
"Sandifer, PA; Knapp, LC; Collier, TK; Jones, AL; Juster, RP; Kelble, CR; Kwok, RK; Miglarese, JV; Palinkas, LA; Porter, DE; Scott, GI; Smith, LM; Sullivan, WC; Sutton-Grier, AE";A conceptual model to assess stress-associated health effects of multiple ecosystem services degraded by disaster events in the Gulf of Mexico and elsewhere;GEOHEALTH;7;2017;1;1;17;36;https://doi.org/10.1002/2016GH000038
"Parthum, B; Pindilli, E; Hogan, D";Benefits of the fire mitigation ecosystem service in The Great Dismal Swamp National Wildlife Refuge, Virginia, USA;JOURNAL OF ENVIRONMENTAL MANAGEMENT;7;2017;203;;375;382;https://doi.org/10.1016/j.jenvman.2017.08.018
"Matzarakis, A; Frohlich, D";Sport events and climate for visitors-the case of FIFA World Cup in Qatar 2022;INTERNATIONAL JOURNAL OF BIOMETEOROLOGY;11;2015;59;4;481;486;https://doi.org/10.1007/s00484-014-0886-5
"Sanchez-Cabeza, JA; Ruiz-Fernandez, AC; de Vernal, A; Machain-Castillo, ML";Reconstruction of Pyrodinium Blooms in the Tropical East Pacific (Mexico): Are They Related to ENSO?;ENVIRONMENTAL SCIENCE & TECHNOLOGY;8;2012;46;12;6830;6834;https://doi.org/10.1021/es204376e
"Trager-Chatterjee, C; Muller, RW; Bendix, J";Analysis of extreme summers and prior late winter/spring conditions in central Europe;NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;2;2013;13;5;1243;1257;https://doi.org/10.5194/nhess-13-1243-2013
"Mayewski, PA; Rohling, EE; Stager, JC; Karlen, W; Maasch, KA; Meeker, LD; Meyerson, EA; Gasse, F; van Kreveld, S; Holmgren, K; Lee-Thorp, J; Rosqvist, G; Rack, F; Staubwasser, M; Schneider, RR; Steig, EJ";Holocene climate variability;QUATERNARY RESEARCH;1363;2004;62;3;243;255;https://doi.org/10.1016/j.yqres.2004.07.001
"Erdner, DL; Dyble, J; Parsons, ML; Stevens, RC; Hubbard, KA; Wrabel, ML; Moore, SK; Lefebvre, KA; Anderson, DM; Bienfang, P; Bidigare, RR; Parker, MS; Moeller, P; Brand, LE; Trainer, VL";Centers for Oceans and Human Health: a unified approach to the challenge of harmful algal blooms;ENVIRONMENTAL HEALTH;29;2008;7;;;;https://doi.org/10.1186/1476-069X-7-S2-S2
"Ross, E; Behringer, D";Changes in temperature, pH, and salinity affect the sheltering responses of Caribbean spiny lobsters to chemosensory cues;SCIENTIFIC REPORTS;0;2019;9;;;;https://doi.org/10.1038/s41598-019-40832-y
"Waller, NL; Gynther, IC; Freeman, AB; Lavery, TH; Leung, LKP";The Bramble Cay melomys Melomys rubicola (Rodentia:Muridae): a first mammalian extinction caused by human-induced climate change?;WILDLIFE RESEARCH;8;2017;44;1;9;21;https://doi.org/10.1071/WR16157
"Wuczynski, A; Jakubiec, Z";Mortality of game mammals caused by an extreme flooding event in south-western Poland;NATURAL HAZARDS;8;2013;69;1;85;97;https://doi.org/10.1007/s11069-013-0687-x
"Koc, G; Thieken, AH";The relevance of flood hazards and impacts in Turkey: What can be learned from different disaster loss databases?;NATURAL HAZARDS;1;2018;91;1;375;408;https://doi.org/10.1007/s11069-017-3134-6
Ferreira, MC;Geographical distribution of the association between El Nino South Oscillation and dengue fever in the Americas: a continental analysis using geographical information system-based techniques;GEOSPATIAL HEALTH;10;2014;9;1;141;151;https://doi.org/10.4081/gh.2014.12
"Scorpio, V; Aucelli, PPC; Giano, SI; Pisano, L; Robustelli, G; Rosskopf, CM; Schiattarella, M";River channel adjustments in Southern Italy over the past 150 years and implications for channel recovery;GEOMORPHOLOGY;37;2015;251;;77;90;https://doi.org/10.1016/j.geomorph.2015.07.008
"Chaney, ML; Gracey, AY";Mass mortality in Pacific oysters is associated with a specific gene expression signature;MOLECULAR ECOLOGY;40;2011;20;14;2942;2954;https://doi.org/10.1111/j.1365-294X.2011.05152.x
"Rawluk, A; Ford, RM; Neolaka, FL; Williams, KJ";Public values for integration in natural disaster management and planning: A case study from Victoria, Australia;JOURNAL OF ENVIRONMENTAL MANAGEMENT;9;2017;185;;11;20;https://doi.org/10.1016/j.jenvman.2016.10.052
"Helama, S; Holopainen, J; Macias-Fauria, M; Timonen, M; Mielikainen, K";A chronology of climatic downturns through the mid- and late-Holocene: tracing the distant effects of explosive eruptions from palaeoclimatic and historical evidence in northern Europe;POLAR RESEARCH;9;2013;32;;;;https://doi.org/10.3402/polar.v32i0.15866
"Ho, HC; Abbas, S; Yang, JX; Zhu, R; Wong, MS";Spatiotemporal Prediction of Increasing Winter Perceived Temperature across a Sub-Tropical City for Sustainable Planning and Climate Change Mitigation;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;1;2019;16;3;;;https://doi.org/10.3390/ijerph16030497
"Forkel, M; Thonicke, K; Beer, C; Cramer, W; Bartalev, S; Schmullius, C";Extreme fire events are related to previous-year surface moisture conditions in permafrost-underlain larch forests of Siberia;ENVIRONMENTAL RESEARCH LETTERS;27;2012;7;4;;;https://doi.org/10.1088/1748-9326/7/4/044021
"Graham, DA; Vanos, JK; Kenny, NA; Brown, RD";Modeling the Effects of Urban Design on Emergency Medical Response Calls during Extreme Heat Events in Toronto, Canada;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;1;2017;14;7;;;https://doi.org/10.3390/ijerph14070778
"Osti, R; Nakasu, T";Lessons learned from southern and eastern Asian urban floods: from a local perspective;JOURNAL OF FLOOD RISK MANAGEMENT;5;2016;9;1;22;35;https://doi.org/10.1111/jfr3.12107
"Medina, RM; Cervone, G; Waters, NM";Characterizing and Predicting Traffic Accidents in Extreme Weather Environments;PROFESSIONAL GEOGRAPHER;2;2017;69;1;126;137;https://doi.org/10.1080/00330124.2016.1184987
"Tessier, B; Billeaud, I; Sorrel, P; Delsinne, N; Lesueur, P";Infilling stratigraphy of macrotidal tide-dominated estuaries. Controlling mechanisms: Sea-level fluctuations, bedrock morphology, sediment supply and climate changes (The examples of the Seine estuary and the Mont-Saint-Michel Bay, English Channel, NW France);SEDIMENTARY GEOLOGY;32;2012;279;;62;73;https://doi.org/10.1016/j.sedgeo.2011.02.003
"Sun, Y; Hu, T; Zhang, XB";Substantial Increase in Heat Wave Risks in China in a Future Warmer World;EARTHS FUTURE;3;2018;6;11;1528;1538;https://doi.org/10.1029/2018EF000963
"DeFries, R; Asner, GP; Foley, J";A glimpse out the window: Landscapes, livelihoods, and the environment;ENVIRONMENT;10;2006;48;8;22;36;https://doi.org/10.3200/ENVT.48.8.22-36
"Wang, YJ; Su, YJ";Influence of solar activity on breaching, overflowing and course-shifting events of the Lower Yellow River in the late Holocene;HOLOCENE;4;2013;23;5;656;666;https://doi.org/10.1177/0959683612467481
"Chang, JX; Wei, J; Wang, YM; Yuan, M; Guo, JC";Precipitation and runoff variations in the Yellow River Basin of China;JOURNAL OF HYDROINFORMATICS;6;2017;19;1;138;155;https://doi.org/10.2166/hydro.2016.047
"Piovesan, G; Biondi, F; Baliva, M; Dinella, A; Di Fiore, L; Marchiano, V; Saba, EP; De Vivo, G; Schettino, A; Di Filippo, A";Tree growth patterns associated with extreme longevity: Implications for the ecology and conservation of primeval trees in Mediterranean mountains;ANTHROPOCENE;1;2019;26;;;;https://doi.org/10.1016/j.ancene.2019.100199
"Ruin, I; Lutoff, C; Boudevillain, B; Creutin, JD; Anquetin, S; Rojo, MB; Boissier, L; Bonnifait, L; Borga, M; Colbeau-Justin, L; Creton-Cazanave, L; Delrieu, G; Douvinet, J; Gaume, E; Gruntfest, E; Naulin, JP; Payrastre, O; Vannier, O";Social and Hydrological Responses to Extreme Precipitations: An Interdisciplinary Strategy for Postflood Investigation;WEATHER CLIMATE AND SOCIETY;35;2014;6;1;135;153;https://doi.org/10.1175/WCAS-D-13-00009.1
Pollard, JA;Climate change and coastal policy: the need to address erosion-flooding interactions for effective coastal risk management;GEOGRAPHY;0;2019;104;;60;70;https://doi.org/
"Wang, X; Li, JQ; Li, YX; Shen, ZY; Wang, X; Yang, ZF; Lou, IC";Is urban development an urban river killer? A case study of Yongding Diversion Channel in Beijing, China;JOURNAL OF ENVIRONMENTAL SCIENCES;7;2014;26;6;1232;1237;https://doi.org/10.1016/S1001-0742(13)60593-8
"Yusa, A; Berry, P; Cheng, JJ; Ogden, N; Bonsal, B; Stewart, R; Waldick, R";Climate Change, Drought and Human Health in Canada;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;23;2015;12;7;8359;8412;https://doi.org/10.3390/ijerph120708359
"Klug, JL; Richardson, DC; Ewing, HA; Hargreaves, BR; Samal, NR; Vachon, D; Pierson, DC; Lindsey, AM; O'Donnell, DM; Effler, SW; Weathers, KC";Ecosystem Effects of a Tropical Cyclone on a Network of Lakes in Northeastern North America;ENVIRONMENTAL SCIENCE & TECHNOLOGY;53;2012;46;21;11693;11701;https://doi.org/10.1021/es302063v
"Pan, YP; Wang, YS; Sun, Y; Tian, SL; Cheng, MT";Size-resolved aerosol trace elements at a rural mountainous site in Northern China: Importance of regional transport;SCIENCE OF THE TOTAL ENVIRONMENT;44;2013;461;;761;771;https://doi.org/10.1016/j.scitotenv.2013.04.065
"Lehner, B; Doll, P; Alcamo, J; Henrichs, T; Kaspar, F";Estimating the impact of global change on flood and drought risks in europe: A continental, integrated analysis;CLIMATIC CHANGE;439;2006;75;3;273;299;https://doi.org/10.1007/s10584-006-6338-4
"Martinez, JE; Jimenez-Franco, MV; Zuberogoitia, I; Leon-Ortega, M; Calvo, JF";Assessing the short-term effects of an extreme storm on Mediterranean forest raptors;ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY;8;2013;48;;47;53;https://doi.org/10.1016/j.actao.2013.01.017
